model,dataset,f1_mean,f1_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,roc_auc_mean,roc_auc_std,TN,FP,FN,TP
LR,test,,,79.61165,,72.164948,,82.784506,,70.0,27.0,21.0,82.0
NN,test,,,75.728155,,58.762887,,75.097588,,57.0,40.0,25.0,78.0
XB,test,,,80.582524,,78.350515,,82.234011,,76.0,21.0,20.0,83.0
LR,test_0,,,77.358491,,69.148936,,80.750703,,65.0,29.0,24.0,82.0
LR,test_1,,,84.297521,,68.35443,,85.594727,,54.0,25.0,19.0,102.0
LR,test_2,,,82.222222,,70.0,,85.606061,,77.0,33.0,16.0,74.0
LR,test_3,,,81.651376,,75.824176,,82.810767,,69.0,22.0,20.0,89.0
LR,test_4,,,78.26087,,70.37037,,82.357085,,76.0,32.0,20.0,72.0
LR,test_5,,,82.692308,,66.666667,,84.805689,,64.0,32.0,18.0,86.0
LR,test_6,,,74.193548,,68.224299,,77.710783,,73.0,34.0,24.0,69.0
LR,test_7,,,77.981651,,72.527473,,81.963908,,66.0,25.0,24.0,85.0
LR,test_8,,,81.188119,,73.737374,,82.058206,,73.0,26.0,19.0,82.0
LR,test_9,,,74.166667,,70.0,,78.90625,,56.0,24.0,31.0,89.0
NN,test_0,,,74.528302,,59.574468,,75.827981,,56.0,38.0,27.0,79.0
NN,test_1,,,80.165289,,54.43038,,78.423475,,43.0,36.0,24.0,97.0
NN,test_2,,,81.111111,,62.727273,,79.646465,,69.0,41.0,17.0,73.0
NN,test_3,,,79.816514,,63.736264,,79.574554,,58.0,33.0,22.0,87.0
NN,test_4,,,77.173913,,60.185185,,76.84682,,65.0,43.0,21.0,71.0
NN,test_5,,,78.846154,,60.416667,,78.625801,,58.0,38.0,22.0,82.0
NN,test_6,,,76.344086,,54.205607,,72.625867,,58.0,49.0,22.0,71.0
NN,test_7,,,75.229358,,62.637363,,77.175118,,57.0,34.0,27.0,82.0
NN,test_8,,,78.217822,,64.646465,,75.967597,,64.0,35.0,22.0,79.0
NN,test_9,,,69.166667,,55.0,,63.96875,,44.0,36.0,37.0,83.0
XB,test_0,,,80.188679,,79.787234,,82.346447,,75.0,19.0,21.0,85.0
XB,test_1,,,86.77686,,82.278481,,86.211947,,65.0,14.0,16.0,105.0
XB,test_2,,,78.888889,,82.727273,,82.757576,,91.0,19.0,19.0,71.0
XB,test_3,,,83.486239,,83.516484,,85.341264,,76.0,15.0,18.0,91.0
XB,test_4,,,78.26087,,76.851852,,80.485105,,83.0,25.0,20.0,72.0
XB,test_5,,,78.846154,,82.291667,,83.383413,,79.0,17.0,22.0,82.0
XB,test_6,,,77.419355,,75.700935,,78.605165,,81.0,26.0,21.0,72.0
XB,test_7,,,81.651376,,84.615385,,85.462244,,77.0,14.0,20.0,89.0
XB,test_8,,,85.148515,,76.767677,,85.638564,,76.0,23.0,15.0,86.0
XB,test_9,,,75.833333,,80.0,,80.552083,,64.0,16.0,29.0,91.0
LR,bootstrapped,,,79.401277,2.196483,70.485372,1.725528,82.256418,,,,,
NN,bootstrapped,,,77.059922,2.174477,59.755967,2.438712,75.868243,,,,,
XB,bootstrapped,,,80.650027,2.193639,80.453699,1.942238,83.078381,,,,,
