Edge,Weight
"(0, 1)",7.448223381288699e-05
"(0, 2)",0.0007500190392602235
"(0, 39)",4.8463484807115265e-06
"(0, 40)",1.9655412367569626e-06
"(0, 41)",0.9288905006635468
"(0, 42)",0.010603753861505538
"(0, 43)",7.309449895828307e-08
"(0, 90)",4.241183678033167e-07
"(0, 118)",1.6510257226591236e-07
"(0, 119)",4.851672390202566e-06
"(0, 120)",3.4546254034285556e-07
"(0, 122)",5.708006841587121e-05
"(0, 123)",0.01556140341097489
"(0, 124)",0.021967004442121834
"(0, 125)",0.0012342838394397405
"(0, 126)",7.598090982355643e-05
"(0, 127)",7.563836230417565e-07
"(0, 150)",1.2931516783609708e-07
"(1, 0)",7.448223381288699e-05
"(1, 2)",0.0021299480940797366
"(1, 3)",2.9921475293122056e-05
"(1, 4)",4.534082797036376e-07
"(1, 33)",1.2748165474363303e-07
"(1, 38)",2.2520332725734652e-06
"(1, 39)",4.4191352544658e-05
"(1, 40)",0.004044925213092938
"(1, 41)",0.00013318359737411357
"(1, 42)",6.47453470179471e-07
"(1, 43)",1.1696509563563495e-07
"(1, 119)",1.6155810701367168e-07
"(1, 123)",3.217737834783204e-08
"(1, 124)",8.292621917462384e-05
"(1, 125)",0.0002982792006878299
"(1, 126)",0.5528528090799227
"(1, 127)",0.001960970002655813
"(1, 128)",0.0459691671654582
"(1, 129)",5.336081591167385e-07
"(1, 145)",2.8427848015298453e-08
"(1, 150)",5.258369989959988e-06
"(1, 151)",0.0006897094104670032
"(1, 152)",2.126663820632757e-05
"(1, 153)",0.02238591986395477
"(1, 154)",1.5132860876856526e-08
"(1, 155)",3.1866642103750563e-06
"(1, 180)",3.106644932096003e-06
"(1, 182)",6.939566968355849e-07
"(2, 0)",0.0007500190392602235
"(2, 1)",0.0021299480940797366
"(2, 3)",0.005755274613620714
"(2, 4)",0.002697450825944543
"(2, 5)",1.4437496774633018e-06
"(2, 34)",2.2356494651987192e-07
"(2, 38)",1.0277791578355671e-06
"(2, 39)",5.598902850323384e-07
"(2, 40)",0.0065571387333329765
"(2, 41)",0.0004357811105728615
"(2, 42)",0.019870236322749407
"(2, 43)",0.002169579573965166
"(2, 44)",0.0023402836013701744
"(2, 45)",5.815260853361549e-07
"(2, 88)",1.2538135345150738e-07
"(2, 89)",1.8905883761632935e-07
"(2, 90)",3.625320737683069e-05
"(2, 91)",4.432569887313775e-07
"(2, 93)",1.8191137785173733e-07
"(2, 105)",1.133160883881601e-07
"(2, 115)",5.368700509293944e-06
"(2, 116)",6.719938836964371e-09
"(2, 118)",2.9294362878609093e-05
"(2, 119)",0.0051063468945085335
"(2, 120)",3.814696425638313e-07
"(2, 122)",8.149628140472487e-06
"(2, 123)",7.607451322044767e-06
"(2, 124)",0.07523460651747882
"(2, 125)",1.788366198525182e-05
"(2, 126)",6.996547710514279e-05
"(2, 127)",0.02497577517759055
"(2, 128)",0.0005307078682380962
"(2, 129)",7.405236380009228e-06
"(2, 130)",3.100234359720844e-07
"(2, 145)",7.389640345678572e-07
"(2, 150)",3.236747491882852e-05
"(2, 151)",8.844495766879845e-07
"(2, 152)",1.5688078687503548e-06
"(2, 153)",1.4769003277592674e-06
"(2, 155)",2.741146894951944e-08
"(3, 1)",2.9921475293122056e-05
"(3, 2)",0.005755274613620714
"(3, 4)",0.005234010069398209
"(3, 5)",0.015152534497901797
"(3, 6)",4.638042603914983e-06
"(3, 8)",1.1014022850197592e-07
"(3, 30)",0.00022384543341104292
"(3, 31)",2.481750798255801e-07
"(3, 33)",0.0008291362701129401
"(3, 34)",0.0029959961242275314
"(3, 37)",2.3163214597765604e-06
"(3, 38)",0.0005140019565217635
"(3, 39)",2.2593020538863583e-07
"(3, 40)",0.2507528642565012
"(3, 41)",1.9766644205887473e-07
"(3, 42)",2.7055264845188277e-06
"(3, 43)",0.05347313773585483
"(3, 44)",0.0003751444726185582
"(3, 45)",4.7137509042158854e-05
"(3, 46)",2.892560798946377e-07
"(3, 84)",3.22011604509953e-07
"(3, 86)",8.576678922622705e-09
"(3, 88)",1.562075040169475e-05
"(3, 89)",1.9385446480555403e-05
"(3, 90)",1.0506110172414652e-06
"(3, 91)",4.2994282065261136e-09
"(3, 115)",1.4204511842494426e-08
"(3, 119)",3.524403141855456e-07
"(3, 124)",4.286102022757546e-07
"(3, 126)",1.8423686513221692e-08
"(3, 127)",0.00013582109594608482
"(3, 128)",0.01039055518223904
"(3, 129)",0.0005265766099182656
"(3, 130)",0.013763762402813882
"(3, 131)",9.491295130032994e-06
"(3, 138)",7.763179807440679e-08
"(3, 141)",5.273950920874393e-08
"(3, 142)",5.0233451971439916e-09
"(3, 152)",1.1401426938562054e-07
"(3, 153)",6.222369966479846e-06
"(3, 154)",1.108452657234693e-06
"(3, 155)",0.0003099323211063165
"(3, 158)",2.8471108676058067e-05
"(3, 159)",6.000321786728617e-08
"(3, 184)",9.070190448405422e-07
"(4, 1)",4.534082797036376e-07
"(4, 2)",0.002697450825944543
"(4, 3)",0.005234010069398209
"(4, 5)",0.0014329254154290538
"(4, 6)",0.0029042856392334213
"(4, 7)",1.7729882318917588e-06
"(4, 8)",4.319306061706385e-08
"(4, 30)",1.3387473382309168e-07
"(4, 34)",1.3995949597931243e-08
"(4, 40)",8.298413641796287e-06
"(4, 42)",7.998558510280418e-07
"(4, 43)",9.22115601679252e-05
"(4, 44)",0.021281215187627822
"(4, 45)",0.0012517182895862788
"(4, 46)",0.0018517354319919832
"(4, 89)",2.2344983597122336e-06
"(4, 90)",1.2728852704313454e-07
"(4, 91)",1.6657531375585678e-06
"(4, 92)",6.146637835513502e-07
"(4, 93)",8.639391784527106e-05
"(4, 95)",8.142019526591326e-08
"(4, 103)",4.456776944412744e-06
"(4, 104)",0.0007188542594803949
"(4, 105)",0.00033464513144281226
"(4, 107)",2.766990261081341e-07
"(4, 115)",0.0030976061860746996
"(4, 116)",3.582245349598168e-07
"(4, 118)",3.1315502887100685e-06
"(4, 119)",0.000656279054327058
"(4, 124)",7.722049086851257e-06
"(4, 127)",0.013190596168860792
"(4, 128)",7.601224158861442e-05
"(4, 129)",0.05061521367169917
"(4, 130)",0.0002618677748250775
"(4, 131)",1.413899066006863e-05
"(4, 137)",8.553928974919245e-08
"(4, 138)",1.3486487282534655e-05
"(4, 141)",0.0030613296839874238
"(4, 142)",5.872608040590421e-05
"(4, 144)",1.6505043612724534e-07
"(4, 145)",0.0001545399654423818
"(4, 148)",1.295915758627769e-08
"(4, 150)",9.127252595817482e-06
"(4, 152)",1.894202310950277e-05
"(4, 153)",7.227901602936752e-08
"(4, 154)",2.8944242038164703e-06
"(4, 155)",4.2781911517408845e-07
"(5, 2)",1.4437496774633018e-06
"(5, 3)",0.015152534497901797
"(5, 4)",0.0014329254154290538
"(5, 6)",0.002616714547621086
"(5, 7)",2.364776970125604e-05
"(5, 8)",0.004995448731351644
"(5, 9)",5.867410352777825e-07
"(5, 26)",1.3413630699687929e-05
"(5, 27)",2.491063849902275e-05
"(5, 29)",4.5810759396299453e-07
"(5, 30)",0.017714285568799823
"(5, 31)",2.2152878086877654e-05
"(5, 33)",2.7099350782577857e-06
"(5, 34)",0.00034646448291823616
"(5, 38)",1.8262783538368482e-07
"(5, 40)",5.524672502588146e-06
"(5, 43)",0.0018327176390448585
"(5, 44)",0.0004848519283405039
"(5, 45)",0.1104985324665904
"(5, 46)",0.0003468967823209823
"(5, 47)",2.73552438244451e-06
"(5, 80)",0.00018254516525303187
"(5, 84)",0.002782746387820225
"(5, 85)",6.093237243831595e-07
"(5, 86)",2.0156496505023823e-05
"(5, 87)",8.187489375924298e-08
"(5, 88)",1.7466669582972827e-05
"(5, 89)",0.0038534819753840567
"(5, 90)",1.0996861158574234e-07
"(5, 91)",5.510384082185738e-07
"(5, 92)",9.969523332529207e-06
"(5, 93)",2.7051080458306843e-07
"(5, 104)",3.2974694792442416e-07
"(5, 115)",6.341166927126498e-08
"(5, 127)",8.113077988980421e-08
"(5, 128)",7.367138613290081e-07
"(5, 129)",6.41523823605894e-05
"(5, 130)",0.019254010641016065
"(5, 131)",0.006197463670396246
"(5, 132)",3.56335624616122e-06
"(5, 138)",2.617363246883997e-06
"(5, 141)",5.674907617603253e-07
"(5, 154)",1.5886024855158543e-08
"(5, 155)",8.138943854163472e-07
"(5, 158)",1.2932709191773028e-05
"(5, 159)",6.753446680107799e-07
"(6, 3)",4.638042603914983e-06
"(6, 4)",0.0029042856392334213
"(6, 5)",0.002616714547621086
"(6, 7)",0.1340153808519244
"(6, 8)",0.00043460209009026584
"(6, 9)",9.059529727153404e-06
"(6, 12)",6.216079027581145e-06
"(6, 20)",6.930374316094223e-09
"(6, 23)",3.877765363134876e-09
"(6, 26)",1.8739179763826996e-06
"(6, 27)",2.9951924027288276e-08
"(6, 30)",2.826887462106242e-06
"(6, 43)",3.95464612497394e-09
"(6, 44)",3.491986888093379e-06
"(6, 45)",0.0007652965254237642
"(6, 46)",0.0921217158716172
"(6, 47)",2.881933264688996e-06
"(6, 48)",3.85709049666616e-06
"(6, 71)",3.3133868787712088e-09
"(6, 80)",1.3684887173326387e-06
"(6, 84)",2.244188861187929e-07
"(6, 89)",9.950539084258026e-08
"(6, 92)",4.0157228990977957e-07
"(6, 93)",7.388060019053455e-07
"(6, 95)",8.300402355871484e-05
"(6, 101)",1.108871974923115e-07
"(6, 102)",7.648062526783548e-08
"(6, 103)",5.669417072171168e-05
"(6, 104)",0.0034512186737811136
"(6, 105)",1.8634744091627909e-06
"(6, 106)",6.407259748336753e-08
"(6, 107)",3.715414732770073e-07
"(6, 115)",2.7235946558334947e-06
"(6, 127)",1.9522512785030698e-07
"(6, 128)",2.553831224014138e-09
"(6, 129)",0.004508816095185466
"(6, 130)",0.001059817425266374
"(6, 131)",0.09867056322516873
"(6, 132)",0.0006751636343142309
