model,dataset,f1_mean,f1_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,roc_auc_mean,roc_auc_std,TN,FP,FN,TP
GCN,bootstrapped,81.37995484279892,2.1269582025576343,81.4772056126254,2.5924195661333287,79.90091243003482,1.5079572559839158,81.63656077946776,2.115862897342653,,,,
GCN-shuffleEdges,bootstrapped,69.64533742426686,1.491201779004948,74.4714951048956,1.5776844143311992,57.151183936011066,2.612056236137872,73.57812418071804,1.4162273352380235,,,,
GCN-onlyMPFs,bootstrapped,76.77075915403357,2.270525300433251,78.82557483393062,2.3717478594654904,71.34697536547141,2.312288178448954,80.17582418314608,1.9806295346076912,,,,
GCN-onlySBMLCore,bootstrapped,67.57003573751976,2.8743312178055245,68.5779157881297,2.9824916208843906,63.18721100032454,1.5278718210116797,66.86185236230952,1.6586097748997972,,,,
GCN-noEWs,bootstrapped,78.26251408737905,2.416678801514334,75.75502201885271,1.8911981943166973,80.94606325723849,2.8553377135048197,79.57264803211879,1.793485940504529,,,,
GCN,test_0,80.18867924528303,,80.18867924528303,,77.6595744680851,,81.10196708149337,,,,,
GCN,test_1,86.19246861924687,,85.12396694214877,,81.0126582278481,,84.68459043833037,,,,,
GCN,test_2,84.21052631578947,,88.88888888888889,,81.81818181818183,,86.55555555555556,,,,,
GCN,test_3,84.25925925925925,,83.4862385321101,,82.41758241758241,,84.53473132372214,,,,,
GCN,test_4,78.72340425531915,,80.43478260869566,,79.62962962962963,,80.54549114331724,,,,,
GCN,test_5,84.21052631578947,,84.61538461538461,,82.29166666666666,,83.75400641025642,,,,,
GCN,test_6,75.26881720430107,,75.26881720430107,,78.50467289719626,,75.46980202994675,,,,,
GCN,test_7,82.62910798122066,,80.73394495412845,,82.41758241758241,,81.2884363343079,,,,,
GCN,test_8,78.64077669902912,,80.19801980198021,,75.75757575757575,,81.1081108110811,,,,,
GCN,test_9,79.47598253275109,,75.83333333333333,,77.5,,77.32291666666666,,,,,
GCN-shuffleEdges,test_0,69.52789699570815,,76.41509433962264,,51.06382978723404,,72.55118426334806,,,,,
GCN-shuffleEdges,test_1,74.9003984063745,,77.68595041322314,,54.43037974683544,,73.21895595773617,,,,,
GCN-shuffleEdges,test_2,69.03553299492386,,75.55555555555556,,64.54545454545455,,78.25252525252525,,,,,
GCN-shuffleEdges,test_3,70.63829787234043,,76.14678899082568,,52.74725274725275,,73.66670027220485,,,,,
GCN-shuffleEdges,test_4,68.26923076923077,,77.17391304347827,,58.333333333333336,,74.29549114331724,,,,,
GCN-shuffleEdges,test_5,68.4931506849315,,72.11538461538461,,58.333333333333336,,72.90665064102564,,,,,
GCN-shuffleEdges,test_6,66.66666666666666,,72.04301075268818,,61.6822429906542,,69.4000602954477,,,,,
GCN-shuffleEdges,test_7,71.36563876651982,,74.31192660550458,,59.34065934065934,,74.39257989716707,,,,,
GCN-shuffleEdges,test_8,66.9683257918552,,73.26732673267327,,53.535353535353536,,75.1075107510751,,,,,
