model,dataset,f1_mean,f1_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,roc_auc_mean,roc_auc_std,TN,FP,FN,TP
LR,test,77.35849056603774,,79.61165,,72.164948,,82.784506,,70.0,27.0,21.0,82.0
NN,test,70.58823529411764,,75.728155,,58.762887,,75.097588,,57.0,40.0,25.0,78.0
XB,test,80.19323671497585,,80.582524,,78.350515,,82.234011,,76.0,21.0,20.0,83.0
LR,test_0,75.57603686635946,,77.358491,,69.148936,,80.750703,,65.0,29.0,24.0,82.0
LR,test_1,82.25806451612902,,84.297521,,68.35443,,85.594727,,54.0,25.0,19.0,102.0
LR,test_2,75.12690355329948,,82.222222,,70.0,,85.606061,,77.0,33.0,16.0,74.0
LR,test_3,80.90909090909092,,81.651376,,75.824176,,82.810767,,69.0,22.0,20.0,89.0
LR,test_4,73.46938775510203,,78.26087,,70.37037,,82.357085,,76.0,32.0,20.0,72.0
LR,test_5,77.47747747747748,,82.692308,,66.666667,,84.805689,,64.0,32.0,18.0,86.0
LR,test_6,70.40816326530613,,74.193548,,68.224299,,77.710783,,73.0,34.0,24.0,69.0
LR,test_7,77.62557077625571,,77.981651,,72.527473,,81.963908,,66.0,25.0,24.0,85.0
LR,test_8,78.46889952153111,,81.188119,,73.737374,,82.058206,,73.0,26.0,19.0,82.0
LR,test_9,76.39484978540773,,74.166667,,70.0,,78.90625,,56.0,24.0,31.0,89.0
NN,test_0,70.85201793721974,,74.528302,,59.574468,,75.827981,,56.0,38.0,27.0,79.0
NN,test_1,76.37795275590553,,80.165289,,54.43038,,78.423475,,43.0,36.0,24.0,97.0
NN,test_2,71.56862745098039,,81.111111,,62.727273,,79.646465,,69.0,41.0,17.0,73.0
NN,test_3,75.9825327510917,,79.816514,,63.736264,,79.574554,,58.0,33.0,22.0,87.0
NN,test_4,68.93203883495146,,77.173913,,60.185185,,76.84682,,65.0,43.0,21.0,71.0
NN,test_5,73.21428571428571,,78.846154,,60.416667,,78.625801,,58.0,38.0,22.0,82.0
NN,test_6,66.66666666666667,,76.344086,,54.205607,,72.625867,,58.0,49.0,22.0,71.0
NN,test_7,72.8888888888889,,75.229358,,62.637363,,77.175118,,57.0,34.0,27.0,82.0
NN,test_8,73.48837209302326,,78.217822,,64.646465,,75.967597,,64.0,35.0,22.0,79.0
NN,test_9,69.4560669456067,,69.166667,,55.0,,63.96875,,44.0,36.0,37.0,83.0
XB,test_0,80.95238095238095,,80.188679,,79.787234,,82.346447,,75.0,19.0,21.0,85.0
XB,test_1,87.49999999999999,,86.77686,,82.278481,,86.211947,,65.0,14.0,16.0,105.0
XB,test_2,78.88888888888889,,78.888889,,82.727273,,82.757576,,91.0,19.0,19.0,71.0
XB,test_3,84.65116279069768,,83.486239,,83.516484,,85.341264,,76.0,15.0,18.0,91.0
XB,test_4,76.1904761904762,,78.26087,,76.851852,,80.485105,,83.0,25.0,20.0,72.0
XB,test_5,80.78817733990148,,78.846154,,82.291667,,83.383413,,79.0,17.0,22.0,82.0
XB,test_6,75.39267015706805,,77.419355,,75.700935,,78.605165,,81.0,26.0,21.0,72.0
XB,test_7,83.9622641509434,,81.651376,,84.615385,,85.462244,,77.0,14.0,20.0,89.0
XB,test_8,81.9047619047619,,85.148515,,76.767677,,85.638564,,76.0,23.0,15.0,86.0
XB,test_9,80.1762114537445,,75.833333,,80.0,,80.552083,,64.0,16.0,29.0,91.0
LR,bootstrapped,76.7714444425959,2.137136616756153,79.401277,2.196483,70.485372,1.725528,82.256418,1.645817671196126,,,,
NN,bootstrapped,71.942745003862,1.908208635352187,77.059922,2.174477,59.755967,2.438712,75.868243,2.899306091244324,,,,
XB,bootstrapped,81.0406993828863,2.3090897233976353,80.650027,2.193639,80.453699,1.942238,83.078381,1.6139558517012944,,,,
GCN,bootstrapped,81.37995484279892,2.1269582025576343,81.4772056126254,2.5924195661333287,79.90091243003482,1.5079572559839158,81.63656077946776,2.115862897342653,,,,
GCN,test_0,80.18867924528303,,80.18867924528303,,77.6595744680851,,81.10196708149337,,,,,
GCN,test_1,86.19246861924687,,85.12396694214877,,81.0126582278481,,84.68459043833037,,,,,
GCN,test_2,84.21052631578947,,88.88888888888889,,81.81818181818183,,86.55555555555556,,,,,
GCN,test_3,84.25925925925925,,83.4862385321101,,82.41758241758241,,84.53473132372214,,,,,
GCN,test_4,78.72340425531915,,80.43478260869566,,79.62962962962963,,80.54549114331724,,,,,
GCN,test_5,84.21052631578947,,84.61538461538461,,82.29166666666666,,83.75400641025642,,,,,
GCN,test_6,75.26881720430107,,75.26881720430107,,78.50467289719626,,75.46980202994675,,,,,
GCN,test_7,82.62910798122066,,80.73394495412845,,82.41758241758241,,81.2884363343079,,,,,
GCN,test_8,78.64077669902912,,80.19801980198021,,75.75757575757575,,81.1081108110811,,,,,
GCN,test_9,79.47598253275109,,75.83333333333333,,77.5,,77.32291666666666,,,,,
GCN,test,81.55339805825243,2.1269582025576343,81.55339805825243,2.5924195661333287,80.41237113402062,1.5079572559839158,82.82454208787911,2.115862897342653,78.0,19.0,19.0,84.0
