model,dataset,f1_mean,f1_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,roc_auc_mean,roc_auc_std,TN,FP,FN,TP
LR,test,77.89473684210527,,71.84466019417476,,86.73469387755102,,85.11987319199524,,85.0,13.0,29.0,74.0
NN,test,67.70833333333334,,63.10679611650486,,75.51020408163265,,76.44145036655439,,74.0,24.0,38.0,65.0
XB,test,71.59090909090908,,61.16504854368931,,89.79591836734694,,85.19417475728156,,88.0,10.0,40.0,63.0
LR,test_0,79.38144329896907,,74.75728155339806,,85.71428571428571,,86.24925698434713,,84.0,14.0,26.0,77.0
LR,test_1,74.25149700598801,,68.88888888888889,,86.48648648648648,,83.8038038038038,,96.0,15.0,28.0,62.0
LR,test_2,78.39195979899498,,73.58490566037736,,84.21052631578947,,85.03475670307846,,80.0,15.0,28.0,78.0
LR,test_3,75.24752475247524,,68.46846846846847,,83.33333333333334,,84.15415415415416,,75.0,15.0,35.0,76.0
LR,test_4,76.6839378238342,,71.15384615384616,,84.5360824742268,,86.36003172085647,,82.0,15.0,30.0,74.0
LR,test_5,75.90361445783134,,70.78651685393258,,87.5,,87.0585874799358,,98.0,14.0,26.0,63.0
LR,test_6,82.56880733944955,,76.92307692307693,,86.90476190476191,,90.0997150997151,,73.0,11.0,27.0,90.0
LR,test_7,76.75675675675676,,70.29702970297029,,87.0,,86.36633663366337,,87.0,13.0,30.0,71.0
LR,test_8,74.4186046511628,,65.97938144329896,,89.42307692307693,,83.94131641554323,,93.0,11.0,33.0,64.0
LR,test_9,76.66666666666667,,74.19354838709677,,83.33333333333334,,86.55913978494624,,90.0,18.0,24.0,69.0
NN,test_0,68.62745098039215,,67.96116504854369,,68.36734693877551,,79.78006736675253,,67.0,31.0,33.0,70.0
NN,test_1,63.85542168674698,,58.88888888888889,,79.27927927927928,,73.06306306306305,,88.0,23.0,37.0,53.0
NN,test_2,68.31683168316832,,65.09433962264151,,71.57894736842105,,76.06752730883814,,68.0,27.0,37.0,69.0
NN,test_3,65.75342465753425,,64.86486486486487,,60.0,,72.3923923923924,,54.0,36.0,39.0,72.0
NN,test_4,63.366336633663366,,61.53846153846154,,64.94845360824742,,70.67803330689928,,63.0,34.0,40.0,64.0
NN,test_5,63.687150837988824,,64.04494382022472,,70.53571428571429,,76.37439807383628,,79.0,33.0,32.0,57.0
NN,test_6,69.85645933014354,,62.39316239316239,,77.38095238095238,,76.26170126170125,,65.0,19.0,44.0,73.0
NN,test_7,67.36842105263158,,63.366336633663366,,75.0,,77.60396039603961,,75.0,25.0,37.0,64.0
NN,test_8,61.87845303867403,,57.73195876288659,,73.07692307692307,,70.55908009516257,,76.0,28.0,41.0,56.0
NN,test_9,62.14689265536724,,59.13978494623656,,73.14814814814815,,72.57068896853843,,79.0,29.0,38.0,55.0
XB,test_0,76.50273224043717,,67.96116504854369,,89.79591836734694,,88.47335050525064,,88.0,10.0,33.0,70.0
XB,test_1,72.84768211920532,,61.111111111111114,,94.5945945945946,,81.001001001001,,105.0,6.0,35.0,55.0
XB,test_2,70.39106145251395,,59.43396226415094,,89.47368421052632,,87.17974180734855,,85.0,10.0,43.0,63.0
XB,test_3,73.11827956989247,,61.261261261261254,,92.22222222222224,,86.14614614614615,,83.0,7.0,43.0,68.0
XB,test_4,73.224043715847,,64.42307692307693,,87.62886597938144,,85.68596352101507,,85.0,12.0,37.0,67.0
XB,test_5,72.72727272727273,,62.92134831460674,,91.96428571428572,,86.8679775280899,,103.0,9.0,33.0,56.0
XB,test_6,78.64077669902912,,69.23076923076923,,90.47619047619048,,89.35693935693936,,76.0,8.0,36.0,81.0
XB,test_7,77.01149425287358,,66.33663366336634,,94.0,,87.23762376237623,,94.0,6.0,34.0,67.0
XB,test_8,65.40880503144653,,53.608247422680414,,90.3846153846154,,83.98592386994449,,94.0,10.0,45.0,52.0
XB,test_9,72.95597484276729,,62.365591397849464,,92.5925925925926,,86.3699721226603,,100.0,8.0,35.0,58.0
LR,bootstrapped,77.02708125521285,1.5649260561531528,71.50329440353546,2.067909965124727,85.84418864852941,1.2297439886589558,85.96270987800438,1.1678642611580656,,,,
NN,bootstrapped,65.48568425563101,1.7910142900521484,62.50239065195742,1.9954622297788944,71.33157650864612,3.567669961890493,74.53509122332235,1.9264227334411614,,,,
XB,bootstrapped,73.28281226512851,2.3004038250848495,62.8653166637416,2.805029702552072,91.31329695417556,1.3340909482463834,86.23046396207718,1.4584941560677758,,,,
GCN,bootstrapped,79.38142256916663,1.9144648133169666,78.38578160562363,2.724808642064481,80.71243549084221,1.6838956168381733,85.67048914562493,1.1182215997624674,,,,
GCN,test_0,82.85714285714286,,84.46601941747572,,79.59183673469387,,86.77432137903705,,,,,
