model,dataset,f1_mean,f1_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,roc_auc_mean,roc_auc_std,TN,FP,FN,TP
LR,test,81.2227074235808,,81.57894736842105,,75.0,,84.34011164274322,,66.0,22.0,21.0,93.0
NN,test,71.81818181818183,,69.2982456140351,,69.31818181818183,,77.84090909090908,,61.0,27.0,35.0,79.0
XB,test,76.27906976744187,,71.9298245614035,,78.4090909090909,,80.59708931419458,,69.0,19.0,32.0,82.0
LR,test_0,83.9506172839506,,78.46153846153847,,84.72222222222221,,85.34188034188035,,61.0,11.0,28.0,102.0
LR,test_1,84.51882845188285,,87.06896551724138,,74.4186046511628,,85.82598235765838,,64.0,22.0,15.0,101.0
LR,test_2,82.14285714285715,,85.18518518518519,,74.46808510638297,,86.11111111111111,,70.0,24.0,16.0,92.0
LR,test_3,77.57009345794394,,74.77477477477478,,78.02197802197803,,79.59607959607959,,71.0,20.0,28.0,83.0
LR,test_4,82.15767634854771,,85.34482758620689,,69.76744186046511,,85.59542902967121,,60.0,26.0,17.0,99.0
LR,test_5,82.9059829059829,,85.08771929824562,,73.86363636363636,,85.78548644338117,,65.0,23.0,17.0,97.0
LR,test_6,78.60262008733623,,78.26086956521739,,72.41379310344827,,82.76861569215393,,63.0,24.0,25.0,90.0
LR,test_7,79.14893617021276,,80.17241379310344,,69.76744186046511,,82.52806736166801,,60.0,26.0,23.0,93.0
LR,test_8,84.16666666666667,,81.45161290322581,,80.76923076923077,,86.90033085194375,,63.0,15.0,23.0,101.0
LR,test_9,83.40425531914893,,89.0909090909091,,70.65217391304348,,90.02964426877472,,65.0,27.0,12.0,98.0
NN,test_0,74.35897435897436,,66.92307692307692,,76.38888888888889,,78.57905982905984,,55.0,17.0,43.0,87.0
NN,test_1,76.06837606837607,,76.72413793103449,,66.27906976744185,,80.89414595028067,,57.0,29.0,27.0,89.0
NN,test_2,69.76744186046511,,69.44444444444444,,65.95744680851064,,77.1276595744681,,62.0,32.0,33.0,75.0
NN,test_3,69.52380952380952,,65.76576576576578,,71.42857142857143,,78.7050787050787,,65.0,26.0,38.0,73.0
NN,test_4,71.61572052401746,,70.6896551724138,,63.95348837209303,,77.90697674418604,,55.0,31.0,34.0,82.0
NN,test_5,72.89719626168225,,68.42105263157895,,75.0,,79.66507177033493,,66.0,22.0,36.0,78.0
NN,test_6,73.33333333333334,,66.95652173913044,,79.3103448275862,,81.25937031484258,,69.0,18.0,38.0,77.0
NN,test_7,72.24669603524228,,70.6896551724138,,66.27906976744185,,76.87449879711306,,57.0,29.0,34.0,82.0
NN,test_8,77.3109243697479,,74.19354838709677,,71.7948717948718,,84.01571546732836,,56.0,22.0,32.0,92.0
NN,test_9,74.56140350877193,,77.27272727272727,,64.13043478260869,,78.07312252964428,,59.0,33.0,25.0,85.0
XB,test_0,77.58620689655173,,69.23076923076923,,83.33333333333334,,79.15598290598291,,60.0,12.0,40.0,90.0
XB,test_1,75.57603686635946,,70.6896551724138,,77.90697674418605,,79.10986367281477,,67.0,19.0,34.0,82.0
XB,test_2,82.46445497630333,,80.55555555555556,,82.97872340425532,,85.35263987391646,,78.0,16.0,21.0,87.0
XB,test_3,71.92118226600985,,65.76576576576578,,79.12087912087912,,77.32897732897732,,72.0,19.0,38.0,73.0
XB,test_4,82.45614035087718,,81.03448275862068,,79.06976744186046,,83.46030473135525,,68.0,18.0,22.0,94.0
XB,test_5,75.43859649122807,,75.43859649122807,,68.18181818181817,,78.7280701754386,,60.0,28.0,28.0,86.0
XB,test_6,75.34883720930233,,70.43478260869566,,78.16091954022988,,81.84907546226887,,68.0,19.0,34.0,81.0
XB,test_7,75.89285714285714,,73.27586206896551,,73.25581395348837,,79.2050922213312,,63.0,23.0,31.0,85.0
XB,test_8,81.57894736842107,,75.0,,85.8974358974359,,84.66708023159637,,67.0,11.0,31.0,93.0
XB,test_9,76.27906976744187,,74.54545454545455,,75.0,,84.76284584980237,,69.0,23.0,28.0,82.0
LR,bootstrapped,81.85685338345296,1.5566861156841865,82.4898816175648,2.823649946443951,74.8864607872035,3.0579401312987224,85.04826270543222,1.755296334787446,,,,
NN,bootstrapped,73.16838758444202,1.5617120937939217,70.70805854396826,2.5395335792047304,70.05221864380144,3.4122550739469726,79.31006996823366,1.3653293702123568,,,,
XB,bootstrapped,77.45423293353521,2.2021185475391905,73.59709241974687,2.98641733136274,78.29056676174866,3.2344728122757855,81.36199324534842,1.8576781530144726,,,,
GCN,bootstrapped,83.89546166799758,2.0549990267904628,81.44351202026142,3.0755615024719014,83.20070238266972,2.4244307455995004,86.21456002724226,1.4712317547413385,,,,
GCN,test_0,82.5,,76.15384615384615,,84.72222222222221,,84.5405982905983,,,,,
GCN,test_1,86.08695652173914,,85.34482758620689,,82.55813953488372,,86.71812349639134,,,,,
GCN,test_2,86.3849765258216,,85.18518518518519,,86.17021276595744,,88.75098502758077,,,,,
GCN,test_3,77.07317073170732,,71.17117117117117,,83.51648351648352,,81.54638154638153,,,,,
GCN,test_4,85.83690987124464,,86.20689655172413,,80.23255813953489,,88.1214915797915,,,,,
GCN,test_5,83.1858407079646,,82.45614035087719,,79.54545454545455,,84.81858054226475,,,,,
GCN,test_6,81.08108108108108,,78.26086956521739,,80.45977011494253,,86.4167916041979,,,,,
GCN,test_7,82.09606986899564,,81.03448275862068,,77.90697674418605,,84.40256615878108,,,,,
GCN,test_8,87.55364806866953,,82.25806451612904,,91.02564102564102,,87.76881720430107,,,,,
GCN,test_9,87.1559633027523,,86.36363636363636,,85.86956521739131,,89.0612648221344,,,,,
GCN,test,83.10502283105022,2.0549990267904628,79.82456140350878,3.0755615024719014,84.0909090909091,2.4244307455995004,85.44657097288676,1.4712317547413385,74.0,14.0,23.0,91.0
