_step,Train F1,Train Loss,Test Sensitivity,Test Specificity,Train Sensitivity,Test F1,Train Accuracy,_runtime,_timestamp,Test Loss,Test Accuracy,Train Specificity
0,0.0,0.6956473588943481,0.0,1.0,0.0,0.0,0.4698275862068966,1.1567089557647705,1751663899.672742,0.6947252750396729,0.485,1.0
1,0.0,0.6951983273029327,0.0,1.0,0.0,0.0,0.4698275862068966,1.5435082912445068,1751663900.0595412,0.694364607334137,0.485,1.0
2,0.0,0.694522500038147,0.0,1.0,0.0,0.0,0.4698275862068966,1.92337965965271,1751663900.4394126,0.6939809322357178,0.485,1.0
3,0.0,0.6941947937011719,0.0,1.0,0.0,0.0,0.4698275862068966,2.301936626434326,1751663900.8179696,0.6936582922935486,0.485,1.0
4,0.0,0.6937272846698761,0.0,1.0,0.0,0.0,0.4698275862068966,2.681749105453491,1751663901.197782,0.6934330463409424,0.485,1.0
5,0.0,0.6933640837669373,0.0,1.0,0.0,0.0,0.4698275862068966,3.062636375427246,1751663901.5786693,0.6932481527328491,0.485,1.0
6,0.024,0.6931696534156799,0.019417475728155338,1.0,0.012195121951219513,0.0380952380952381,0.47413793103448276,3.442237615585327,1751663901.9582705,0.6931219696998596,0.495,0.9954128440366973
7,0.13382899628252787,0.6930767893791199,0.05825242718446602,0.979381443298969,0.07317073170731707,0.10810810810810811,0.4978448275862069,4.314130783081055,1751663902.8301637,0.693062424659729,0.505,0.9770642201834863
8,0.22758620689655173,0.6930620670318604,0.11650485436893204,0.9690721649484536,0.13414634146341464,0.2033898305084746,0.5172413793103449,5.036443471908569,1751663903.5524764,0.6930307149887085,0.53,0.9495412844036697
9,0.1588447653429603,0.6930945217609406,0.0970873786407767,0.9690721649484536,0.08943089430894309,0.1724137931034483,0.4978448275862069,5.759534597396851,1751663904.2755675,0.6930243968963623,0.52,0.9587155963302753
10,0.14652014652014653,0.6931143403053284,0.0970873786407767,0.9690721649484536,0.08130081300813008,0.1724137931034483,0.4978448275862069,6.136741876602173,1751663904.6527748,0.6930076479911804,0.52,0.9678899082568807
11,0.09885931558935361,0.6931582093238831,0.07766990291262135,0.9896907216494846,0.052845528455284556,0.14285714285714285,0.4892241379310345,6.515229225158691,1751663905.0312622,0.6930174231529236,0.52,0.981651376146789
12,0.18505338078291814,0.6931474506855011,0.10679611650485436,0.9690721649484536,0.10569105691056911,0.18803418803418803,0.5064655172413793,6.898810386657715,1751663905.4148433,0.6929700374603271,0.525,0.9587155963302753
13,0.3281733746130031,0.6929789483547211,0.18446601941747573,0.9072164948453608,0.21544715447154472,0.2900763358778626,0.5323275862068966,7.2897210121154785,1751663905.805754,0.6928802728652954,0.535,0.8899082568807339
14,0.5093457943925234,0.6927933096885681,0.3786407766990291,0.6597938144329897,0.44308943089430897,0.44571428571428573,0.5474137931034483,8.020970582962036,1751663906.5370035,0.6927372813224792,0.515,0.6651376146788991
15,0.60431654676259,0.6922659277915955,0.7087378640776699,0.30927835051546393,0.6829268292682927,0.6008230452674898,0.5258620689655172,8.74276852607727,1751663907.2588015,0.692524254322052,0.515,0.3486238532110092
16,0.626916524701874,0.692091166973114,0.7669902912621359,0.20618556701030927,0.7479674796747967,0.61003861003861,0.5280172413793104,9.546387195587158,1751663908.0624201,0.6923572421073914,0.495,0.2798165137614679
17,0.6768759571209801,0.6916253864765167,0.9223300970873787,0.05154639175257732,0.8983739837398373,0.6551724137931034,0.5452586206896551,10.268498420715332,1751663908.7845314,0.6921767592430115,0.5,0.14678899082568808
18,0.691114245416079,0.6915515065193176,1.0,0.0,0.9959349593495935,0.6798679867986799,0.5280172413793104,10.99194598197937,1751663909.507979,0.6920070648193359,0.515,0.0
19,0.6929577464788732,0.6908653676509857,1.0,0.0,1.0,0.6798679867986799,0.5301724137931034,11.714893579483032,1751663910.2309265,0.691887378692627,0.515,0.0
20,0.6929577464788732,0.6905668675899506,1.0,0.0,1.0,0.6798679867986799,0.5301724137931034,12.092385530471802,1751663910.6084185,0.6918120384216309,0.515,0.0
21,0.6929577464788732,0.6902750730514526,1.0,0.0,1.0,0.6798679867986799,0.5301724137931034,12.470388650894165,1751663910.9864216,0.6917956471443176,0.515,0.0
22,0.6929577464788732,0.6904038488864899,1.0,0.0,1.0,0.6798679867986799,0.5301724137931034,12.847301959991455,1751663911.363335,0.6917827725410461,0.515,0.0
23,0.6929577464788732,0.6900983452796936,1.0,0.0,1.0,0.6798679867986799,0.5301724137931034,13.225479364395142,1751663911.7415123,0.6918113827705383,0.515,0.0
24,0.6929577464788732,0.6898029148578644,1.0,0.0,1.0,0.6798679867986799,0.5301724137931034,13.608641862869263,1751663912.1246748,0.6917944550514221,0.515,0.0
25,0.6929577464788732,0.6902759373188019,1.0,0.0,1.0,0.6798679867986799,0.5301724137931034,13.987956523895264,1751663912.5039895,0.6917418837547302,0.515,0.0
26,0.6929577464788732,0.6897208988666534,1.0,0.0,1.0,0.6798679867986799,0.5301724137931034,14.365557432174683,1751663912.8815904,0.6916773319244385,0.515,0.0
27,0.6929577464788732,0.6898450255393982,1.0,0.0,1.0,0.6798679867986799,0.5301724137931034,14.74522066116333,1751663913.2612536,0.6916105151176453,0.515,0.0
28,0.6929577464788732,0.6896364390850067,1.0,0.0,1.0,0.6798679867986799,0.5301724137931034,15.122895956039429,1751663913.638929,0.6915550827980042,0.515,0.0
29,0.6929577464788732,0.6894594430923462,1.0,0.0,1.0,0.6798679867986799,0.5301724137931034,15.501254320144653,1751663914.0172873,0.6915098428726196,0.515,0.0
30,0.6929577464788732,0.689256489276886,1.0,0.0,1.0,0.6798679867986799,0.5301724137931034,15.879788637161255,1751663914.3958216,0.691447913646698,0.515,0.0
31,0.691114245416079,0.6893857717514038,1.0,0.0,0.9959349593495935,0.6798679867986799,0.5280172413793104,16.26016879081726,1751663914.7762017,0.6913530826568604,0.515,0.0
32,0.691114245416079,0.689318060874939,1.0,0.0,0.9959349593495935,0.6798679867986799,0.5280172413793104,16.602861404418945,1751663915.1188943,0.691307544708252,0.515,0.0
33,0.691114245416079,0.6887893676757812,1.0,0.0,0.9959349593495935,0.6798679867986799,0.5280172413793104,16.984649658203125,1751663915.5006826,0.6911565661430359,0.515,0.0
34,0.691114245416079,0.6895956099033356,1.0,0.0,0.9959349593495935,0.6798679867986799,0.5280172413793104,17.362152576446533,1751663915.8781855,0.6910982728004456,0.515,0.0
35,0.692090395480226,0.6886970102787018,1.0,0.0,0.9959349593495935,0.6798679867986799,0.5301724137931034,17.739915132522583,1751663916.255948,0.6910483837127686,0.515,0.0045871559633027525
36,0.692090395480226,0.6889434158802032,1.0,0.0,0.9959349593495935,0.6798679867986799,0.5301724137931034,18.118359088897705,1751663916.634392,0.6909852623939514,0.515,0.0045871559633027525
37,0.692090395480226,0.68852099776268,1.0,0.0,0.9959349593495935,0.6798679867986799,0.5301724137931034,18.495153427124023,1751663917.0111864,0.6909601092338562,0.515,0.0045871559633027525
38,0.692090395480226,0.6889277696609497,1.0,0.0,0.9959349593495935,0.6798679867986799,0.5301724137931034,18.87238597869873,1751663917.388419,0.6909665465354919,0.515,0.0045871559633027525
39,0.691114245416079,0.6885184943675995,1.0,0.0,0.9959349593495935,0.6798679867986799,0.5280172413793104,19.25490093231201,1751663917.7709339,0.6909842491149902,0.515,0.0
40,0.692090395480226,0.688664972782135,1.0,0.0,0.9959349593495935,0.6798679867986799,0.5301724137931034,19.64092707633972,1751663918.15696,0.6909566521644592,0.515,0.0045871559633027525
41,0.691114245416079,0.688337117433548,1.0,0.0,0.9959349593495935,0.6798679867986799,0.5280172413793104,20.02572798728943,1751663918.541761,0.691005527973175,0.515,0.0
42,0.691114245416079,0.6885577738285065,1.0,0.0,0.9959349593495935,0.6798679867986799,0.5280172413793104,20.40581703186035,1751663918.92185,0.6910244822502136,0.515,0.0
