"Name","End Time","Runtime","State","cutoff_distance","dropout","hidden_channels","learning_rate","weight_decay","Test Accuracy","Test F1","Test Loss","Test Sensitivity","Test Specificity","Train Accuracy","Train F1","Train Loss","Train Sensitivity","Train Specificity"
"fearless-sweep-1","2025-01-07T14:42:21.000Z","990","finished","4.581379417428377","0.4","256","0.000002646687770585234","1.1984095484362545e-7","0.4663333333333333","0.6113134255887351","0.6648076077302297","0.8212654924983692","0.09543285616905248","0.48542857142857143","0.6284299566742315","0.6726705304213932","0.8265943012211668","0.106184012066365"
"worthy-sweep-2","2025-01-07T14:43:28.000Z","58","finished","8.143102449765705","0.8","256","0.0013831770821466946","0.000005569223286015683","0.511","0.6763732627399074","0.6933229317267736","1","0","0.5264285714285715","0.6897519887693028","0.6918086516005653","1","0"
"hardy-sweep-3","2025-01-07T14:44:46.000Z","69","finished","5.550470644016578","0.6","256","0.000268245414669806","0.0004978774990112386","0.5106666666666667","0.676081200353045","0.6892882684866587","0.9993476842791912","0","0.5257142857142857","0.6891385767790262","0.6894107758998871","0.9986431478968792","0"
"youthful-sweep-4","2025-01-07T14:45:59.000Z","65","finished","3.623533849403941","0.5","256","0.00031641147899254073","0.000021643776968852333","0.6433333333333333","0.5167118337850045","0.6897156139214834","0.3731245923026745","0.9256987048398092","0.6125714285714285","0.4562951082598235","0.691206944840295","0.30881953867028494","0.9502262443438914"
"eager-sweep-5","2025-01-07T14:52:22.000Z","376","finished","5.631030681138511","0.8","64","0.0005189069510566058","9.672886092461038e-7","0.761","0.7632882139319908","0.5311192274093628","0.7540769732550554","0.7682344921608726","0.8232857142857143","0.8291200442050007","0.41691803612879347","0.81438263229308","0.8331825037707391"
"smooth-sweep-6","2025-01-07T15:01:50.000Z","559","finished","9.708797903084822","0.6","32","0.0000042686992354119165","0.00005821304173942531","0.5096666666666667","0.6752042393464341","0.6936965584754944","0.9973907371167644","0","0.5262857142857142","0.6896293523025084","0.6920549316065652","0.9997286295793758","0"
"fanciful-sweep-7","2025-01-07T15:02:57.000Z","57","finished","6.757369911064835","0.5","64","0.000009369618126971864","2.8139546281846127e-8","0.511","0.6763732627399074","0.6945600161949793","1","0","0.5262857142857142","0.6896293523025084","0.6932189123971122","0.9997286295793758","0"
"bright-sweep-8","2025-01-07T15:04:34.000Z","93","finished","8.397535235011716","0.8","256","0.02316368851833864","0.00019452458113446876","0.511","0.6763732627399074","0.6971573134263357","1","0","0.5264285714285715","0.6897519887693028","0.6938695652144296","1","0"
"glamorous-sweep-10","2025-01-08T14:21:19.000Z","41","finished","6.763066638346833","0.5","128","0.07635180251825581","0.0000318605477242148","0.511","0.6763732627399074","0.6930436342954636","1","0","0.5264285714285715","0.6897519887693028","0.6917798199823925","1","0"
"curious-sweep-11","2025-01-08T14:22:28.000Z","42","finished","6.997493924874558","0.8","128","0.0018407989208559063","0.00000200664526537274","0.511","0.6763732627399074","0.6933318376541138","1","0","0.5264285714285715","0.6897519887693028","0.6916812998907906","1","0"
"electric-sweep-12","2025-01-08T14:24:24.000Z","107","finished","3.990054636437203","0.5","128","0.0000036958214956398034","3.0868707962420016e-7","0.509","0.6746189529489728","0.6978728423515955","0.9960861056751468","0","0.5257142857142857","0.6891385767790262","0.6938242571694511","0.9986431478968792","0"
"legendary-sweep-13","2025-01-08T14:25:53.000Z","83","finished","3.9337334690053902","0.4","256","0.005555046710722441","1.885647911445091e-7","0.511","0.6763732627399074","0.6929747511943182","1","0","0.5264285714285715","0.6897519887693028","0.6916394254990986","1","0"
"genial-sweep-14","2025-01-08T14:26:46.000Z","44","finished","8.365070714688155","0.8","32","0.00873103583876318","0.0006253645396341301","0.511","0.6763732627399074","0.6933865745862325","1","0","0.5264285714285715","0.6897519887693028","0.6917526423931122","1","0"
